아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
vhVsa8l8,,24.07.18,그레이,반팔,정사이즈예요,보통이에요,화면과 비슷해요,164,48,55,핏이랑 기장 딱 예뻐요! 넥라인 파여있는 것도 답답하지 않게 적당히 파여있어서 시원해보이고 들뜸 없어서 몸에 착 붙는 예쁜 핏입니다! 다른 색상도 구매할까 고민이 들만큼 예뻐서 추천해요!!,Free
ejU7NHfo,상위 10%,24.07.13,반팔,아이보리,정사이즈예요,보통이에요,화면과 비슷해요,158,51,55,"우선 발 길이가 엄~청 짧구요
소재는 약간 더운 소재같아요 땀이 찰 거 같아요ㅜㅜ
넥은 시원하게 파여 있어서 목이 짧은 분들은 좋아 할 거 같아요!
그리고 딱 달라붙는 티는 아니에요!
근데 뭐랄까.. 약간 입으면 그냥 반팔티 같지가 않고 뭔가 집에서 잠옷으로 입어야 할 거 같은 느낌..이에요
이너로 셔츠 안에 가디건 안에 입기는 괜찮을 거 같아요!",Free
ejU7NHfo,상위 10%,24.07.13,반팔,블랙,정사이즈예요,보통이에요,화면과 비슷해요,158,51,55,"찐 블랙 색상이고
우선 발 길이가 엄~청 짧구요
소재는 약간 더운 소재같아요 땀이 찰 거 같아요ㅜㅜ
넥은 시원하게 파여 있어서 목이 짧은 분들은 좋아 할 거 같아요!
그리고 딱 달라붙는 티는 아니에요!
근데 뭐랄까.. 약간 입으면 그냥 반팔티 같지가 않고 뭔가 집에서 잠옷으로 입어야 할 거 같은 느낌..이에요",Free
JA1tEWza,,24.06.24,소라,,정사이즈예요,아주 만족해요,화면과 비슷해요,155,43,44,아무 옷에나 어울리는 기본템이라 완전 잘 입고 다녔어요!! 너무 달라붙지도 않아서 출근룩으로도 딱입니다. 색감도 진하지 않은 하늘색이라 예뻐요,Free
ao43tOgn,,24.06.23,반팔,아이보리,정사이즈예요,아주 만족해요,화면과 비슷해요,160,44,44,"여름에 편안하게 입을 기본티가 필요해서 구매했는데, 정말 편하고, 다양하게 매치해서 입기 좋을 것 같아요! 한여름에 입어도 너무 덥지 않을 것 같아요",Free
Jat0ub9W,,24.06.01,아이보리,,작아요,보통이에요,화면과 비슷해요,164,52,55,생각만큼 쫀쫀?하다기보다는 탄탄한 느낌이에요 탄력있는 재질은 아니고 질 좋은 면티 재질? 저한텐 좀 작은데 잘 늘어날 것 같은 재질이 아니라서 아쉽긴한데 사이즈 맞는 분들한텐 늘어나지 않고 좋을 것 같아요,Free
헤이호,상위 5%,24.05.01,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,162,49,44,긴팔 기본 티가 없어서 급하게 구매했는데 토요일에 시켜서 월요일에 바로 왔어요. 사이즈나 핏은 다 괜찮은데 얇고 붙기 때문에 스킨색 속옷을 입어도 다 비쳐요.(살 색도 비침) 이너위주로 입을 것 같아서 상관은 없는데 구매하실 때 참고하세요!,Free
POPVfAPc,상위 15%,24.04.26,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,164,48,55,기본 이너티로 아주 찰떡입니다! 여리여리하고 말라보이는 느낌이에요 세탁 후 약간의 늘어짐이 있는 것 같아서 조심해서 세탁해야 될 듯합니당,Free
8fLhwOGm,,24.04.25,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,158,49,44,"모델이랑 똑같은 핏에 컬러도 동일해요
약간 면같은 느낌의 재질에 은근 많이 얇진 않은데
베리시 브라 스킨톤 입어도 흰색은 좀 비쳐서 나시 입어야하고 목파임이 너무 심하지도 않아서 어디든 입기 좋아요
건조기 돌리면 팔길이가 줄어서 짧게 돌리거나 자연건조가 좋을 것 같아요",Free
nkaxGBrc,,24.04.23,소라,,작아요,보통이에요,화면과 비슷해요,170,57,55,"생각보다 색은 탁하지 않고 소라소라해요
근데 신축성이 있지만 사이즈가 막 크진 않아요
비슷한 이너티 많은데 가장 저렴해서 직진 배송으로 샀어요 만족",Free
nHRmImay,,24.04.14,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,165,53,44,흰색이랑 같이 샀는데 흰색보다 목부분이 짱짱한 느낌이에여 랜덤일까요..? 그래도 만원에 이정도 퀄리티면 살만하다고 생각합니다! 2년정도 입고 버리고 새로 살 거예여,Free
OrI.,,24.04.11,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,166,51,55,"핏 최고^^
몸매 ㄹㅇ 좋아보이고 생각보다 붙네요
근데 허리 라인은 별로 안 잡아줘서 좀 아쉽~
그래도 편하게 입게 좋습니더👌🏻 추천",Free
PUVEZwlN,,24.04.06,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,165,56,55,목라인도 정말 편하구요 평소 팔길이도 길어 긴 소매를 찾고 있었는데 소매길이도 정말 마음에 쏙 들어 좋아요 아이보리색이랑 블랙 색이랑 2개 구입 했는게 여름 오기전까지 잘 입을것 같아요^^*,Free
JPPhnLyz,,24.04.06,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,159,58,55,"맘에 듭니다 사이즈도 적당하고 쪼이지 않아서 팔뚝살도 괜찮아보립니다. 재질도 괜찮고 배도 그렇게 붙지 않아서 좋네요, 걱정되시는 분들 이거 추천이요",Free
DWbTuSJQ,,24.04.04,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,163,58,55,"싼 가격에 샀는데 가격에 비해 면도 도톰한편이고 목 파인 정도도 딱 맘에 들어요!!! 흰색 먼저 삿다가 넘 괜찮아서 흰검회 하나씩 다삼^^, 강추입니다 스껄~
가디건 같은데 안에 받쳐입기 개굿~",Free
O1P9OHRf,,24.04.03,아이보리,free,정사이즈예요,보통이에요,화면과 비슷해요,,,,"조금 달라붙어서 처음엔 부담스러웠는데 계속 보니 날씬해보이고 괜찮다 
이너로 입기 좋다 
단독으로 입을 수는 있는데 티 안나는 속옷 필수다 
먼지 잘 붙는다
소매가 길고 세탁기 몇 번 돌리면 목보다 먼저 늘어날 것 같다",Free
rXL9IBg1,,24.04.02,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,166,58,66,"사이즈가 낄까봐 걱정했는데 팔뚝살도 커버되면서 쇄골부터 어깨라인이 이뻐보여요. 많이 파지지 않았고 적당히 파졌어요. 긴팔원숭이인데 팔 길이도 짧지 않고 기장도 짧지 않아서 키가 165이상이여도 괜찮을 거 같아요.
옷사면 이상한 냄새 나는 옷 많은데 여긴 그렇지 않았어요. 가격대비 너무 만족해서 추천합니다 !",Free
C3qx5WNE,,24.04.02,아이보리,free,정사이즈예요,보통이에요,화면과 비슷해요,169,51,55,개강하고 맨날 입고 다녀요. 같은 제품 두개 더 있어요.. 키가 큰 편이라 이렇게 루즈한 느낌 나는 옷이 잘 없는데 팔도 길어서 잘 입고 다닙니다.,Free
리뷰작성자,상위 15%,24.04.01,블랙,,작아요,별로예요,화면과 비슷해요,162,61,55,"흰색이 한 번 입고 세탁한거고 검정이 한 번도 안 입은 새 것 입니다 한 번 밖에 안 입었는데 목이 너무 늘어나요;;

기본 이너티로 입으려고 검정 흰색 한 장씩 샀는데 아주아주아주 얇고 한 번 늘어나면 다시 줄어들질 않습니다..
싸게 산 만큼 그냥 몇 번 입다 버려야 할 것 같아요..",Free
리뷰작성자,상위 15%,24.04.01,아이보리,,정사이즈예요,별로예요,화면과 비슷해요,162,61,55,"흰색이 한 번 입고 세탁한거고 검정이 한 번도 안 입은 새 것 입니다 한 번 밖에 안 입었는데 목이 너무 늘어나요;;

기본 이너티로 입으려고 검정 흰색 한 장씩 샀는데 아주아주아주 얇 고 한 번 늘어나면 다시 줄어들질 않습니다..
싸게 산 만큼 그냥 몇 번 입다 버려야 할 것 같아요..",Free
tfgRcc3r,상위 10%,24.03.29,아이보리,free,정사이즈예요,아주 만족해요,화면과 비슷해요,158,47,55,적당히 붙는 핏이라서 이너로 이곳저곳에 편하게 입기 좋은 티에요 목부분도 너무 파지지 않아서 부담스럽지 않고 목이 양옆으로 넓어서 안 갑갑해보여서 좋아요,Free
ae23**,,24.03.29,그레이,free,정사이즈예요,보통이에요,화면과 비슷해요,160,47,55,이너티로 입으려고 샀어요. 파임도 적당하고 색상도 생각한거랑 비슷한거같아요. 핏도 마음에 듭니다 세탁 한번했는데 크게 망가진거같진않네요,Free
bhaXMcOv,상위 15%,24.03.27,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,163,60,55,길이도 적당하고 저렴해서 질은 사실 별로 기대를 안 했는데 생각보다 너무너무너무 좋아요 ..!! 깔별로 쟁여도 될 것 같습니다…!!!! 그냥 기본티 필요해서 싼거 아무거나 산건데 생각보다 너무 좋아서 감동.. 잘 산 것 같아요 잘 입겠습니다 !!,Free
rstfonPT,,24.03.23,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,154,54,55,"아이보리색상 사서 잘입고 있어서 ,, 혹시라도 품절될까봐 하나 더 구매했어요 ㅎㅎㅎ 진짜 가성비 굳 ,,, 어제 낮에 주문했는데 오늘 오전에 배송됐어요 ! 최고 🥹💗",Free
7qNRbmQC,,24.03.20,아이보리,free,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"가격도 착하고 직잭 배송도 돼서 너무 좋네요! 
아주 쫀쫀한 내질이고 이너로 아주 잘 입어질 것 같아요 가격대비 질도 괜찮은 것 같아요",Free
7qNRbmQC,,24.03.20,그레이,free,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"가격도 착하고 직잭 배송도 돼서 너무 좋네요! 
아주 쫀쫀한 내질이고 이너로 아주 잘 입어질 것 같아요 가격대비 질도 괜찮은 것 같아요",Free
ckst******,상위 5%,24.03.19,그레이,free,정사이즈예요,보통이에요,화면과 비슷해요,161,50,55,생각보다 라운드넥이 좀 크게 파져있고 제가 팔뚝에 살ㅇ이 있어서 팔 쪽은 살짝 붙어여 그래도 기본티로 아주 좋아요!! 봄에 입기 좋을것 갗아요,Free
4EKHVVXs,상위 15%,24.03.19,그레이,free,정사이즈예요,아주 만족해요,화면과 비슷해요,157,60,66,골지 튜브탑이랑 같이 착용했는데 쫀쫀하게 너무 좋았습니다! 너무 빡빡한 느낌도 없고 피부자극이나 꽉끼는 느낌도 없어서 좋았습니다😆,Free
4EKHVVXs,상위 15%,24.03.19,아이보리,free,정사이즈예요,아주 만족해요,화면과 비슷해요,157,60,66,골지 튜브탑이랑 같이 착용했는데 쫀쫀하게 너무 좋았습니다! 너무 빡빡한 느낌도 없고 피부자극이나 꽉끼는 느낌도 없어서 좋았습니다😆,Free
eN0Q0WkU,,24.03.19,그레이,free,정사이즈예요,보통이에요,화면과 비슷해요,169,57,55,핏 이뻐요!!! 별 하나 뺀 이유는 생각보다 부드럽진 않은 재질이고 좀 빳빳?한 느낌이에요! 이너로 입기엔 충분하지만 피부 예민한 분들은 참고하세요. 전 그만큼 튼튼하길 바라면서 잘 입겠습니다!,Free
Y92CL6qL,,24.03.15,블랙,free,정사이즈예요,보통이에요,화면과 비슷해요,160,49,44,핏이나 파임 정도 등등 다 만족스럽습니당 저렴한 만큼 마감이 좀 아쉽지만 .. 그래두 이 가격에 이런 핏 넘 조아유!! 검정은 단독으로 입긴 좀 내복같아서 이너로 입으려고 합니다~~~,Free
C0cLuhER,,24.03.13,그레이,free,정사이즈예요,보통이에요,화면과 비슷해요,168,60,66,"팔 길이는 168인 저에게 약간 짧긴 한데
그래도 상관 없음
넥 깊게 파여있는데 너무 좋아요
저같이 목 답답한거 싫어허시는 분한테 추천",Free
kgs3BIA4,,24.03.13,아이보리,free,작아요,보통이에요,화면과 비슷해요,,,,추천을 받아서 구매한 제품이었어요. 후기도 읽어보고 사진으로 참고하고 구매했지만 실물은 비슷했어요 다만 사이즈가 생각보다 작게나온 느낌이었고 두세번 입고 벗고해도 늘어난 감이 보이는 탄력이라 아쉬운게 많았습니다. 세탁하기 무서운단계랍니다,Free
dan0***,,24.03.11,그레이,free,정사이즈예요,보통이에요,화면과 비슷해요,158,50,55,"무난무난
붙어야할 부분이 붙어서 적당히 말라보이고 좋아요
여행갈때 입으려고 샀눈데 가격 이정도면 적당한거같고 밖에 뭐 걸치면 이쁠듯하네용",Free
4zKkhyFJ,,24.03.09,블랙,free,정사이즈예요,아주 만족해요,화면과 비슷해요,163,52,55,"최근에 산 기본티중에 제일 맘에 들어요! 너무 딱붙어서 부담스러운거 많던데 적당히 붙고,적당히 파여있고 손등덮어주는 소매길이에 잘 늘어나지 않을것같은 넥라인까지 완벽. 이가격에 완전 만족해요ㅎㅎ",Free
빛날,,24.03.07,그레이,free,생각보다 커요,아주 만족해요,화면과 비슷해요,166,57,66,"기본 티가 필요해서 샀습니다.
보통 인쇼에서 파는 기본티는 44 체형에만 맞을 정도로 작은 사이즈가 대다수더라고요?
그래서 지그재그에서도 여러분 속았는데 이번에는
성공이네요. 나름 널널한 핏이 나와요. 
상체 통통이인 저도 아주 잘 맞는 사이즈
안에 넣어서 입기 좋습니다.
블랙도 곧 사려고요!
다양한 색상으로 만들어주세요~",Free
UtFX6iZj,,24.03.04,아이보리,free,정사이즈예요,아주 만족해요,화면과 비슷해요,169,50,44,가격대비 만족입니다!! 아이보리 색상은 안이 좀 비쳐서 이너를 잘 고민하고 입어야 할 듯 합니다! 다른 아우터와 잘 매치해서 입을 수 있을 것같아요~~,Free
UtFX6iZj,,24.03.04,그레이,free,정사이즈예요,아주 만족해요,화면과 비슷해요,169,50,44,가격대비 퀼리티가 좋아요 ㅎㅎ! 약간 내복같지 않을까 걱정했는데 입어보고 단독으로 입어도 괜찮을 정도 입니다! 길이도 제 키에 적당하고 질도 좋아서 잘 입을 것 같아요~~,Free
GHgnkZBj,,24.02.29,그레이,free,정사이즈예요,아주 만족해요,화면과 비슷해요,168,57,55,5번째 재구매입니다!!ㅎㅎ 몸에 너무 딱 붙지도 않고 딱 슬림핏이라 핏도 너무 좋고 몸에 착 감기는 면 재질이 좋아서 계속 재구매하게 되네용,Free
CxShJ5So,,24.02.28,블랙,free,정사이즈예요,아주 만족해요,화면과 비슷해요,165,42,44,일할 때 입으려고 산건데 몸에 촥 붙고 잘 안늘어나서 좋습니다. 만족해요 색깔별로 샀어요~ 파이지 않고 옷이 고정되어있어서 더 편해요,Free
KGFDZICQ,,24.02.18,블랙,free,정사이즈예요,보통이에요,화면과 비슷해요,156,41,44,"배송은 정말 빨리 왔어요 〰️ 
새벽에 시켰는데 밤에 도착했습니다 !
옷도 너무 마음에 들어요 
기장이나 사이즈 모두 딱 맞고 좋습니당",Free
ypS1dzsY,,24.02.16,그레이,free,정사이즈예요,보통이에요,화면과 비슷해요,166,51,55,이너티로 입으려고 샀는데 잘 산 것 같아요~! 내복같은 느낌도 안들고 파임도 적당해서 좋습니당 팔이 긴 편인데 소매길이도 맘에 들어요,Free
12**,,24.02.01,블랙,free,작아요,아주 만족해요,화면보다 어두워요,163,75,77,"처음에 딱 봣을때 작나 싶었는데
입으니깐 늘어나더라구옇ㅎㅎ
입은 모델언니 핏은 안나오지만
차피 이너티를 찾던거라 상관없었어여
예쁘고 가성비있고 재질도 탄탄합니당",Free
voH9TTSx,,24.01.20,아이보리,free,정사이즈예요,보통이에요,화면과 비슷해요,156,48,55,"디자인이랑 너무 달라붙지 않는 것 너무 마음에 들어요!
하얀색은 비치긴하지먼 다른색은 그냥 단독으로 입어도 될 듯 싶어요

겨드랑이 쪽에 약간 구멍이 나서 와있긴한데 포장지도 이미 다 버린 후에 알아채서ㅜ 어차피 흰색은 그냥 이너로만 입을거라 그냥 입으려구용",Free
oWkyCmpy,,24.01.19,아이보리,free,정사이즈예요,아주 만족해요,화면과 비슷해요,157,49,44,넥 라인이 시원하게 파여있어서 왠지 말라보이는 효과가 😳 제일 좋은 점!!! 팔뚝살 부각 안되고 많이 달라붙는 재질이 아니라 좋아요 적당히 핏 되고 조금 널널한 그런 기본티 원했는데 딱입니다🤍,Free
LXzmtoSq,,24.01.13,아이보리,free,정사이즈예요,아주 만족해요,화면과 비슷해요,162,47,44,"촉감이랑 핏이 딱 좋아서 데일리 이너템으로 잘 입을것 같아용 신축성이 막 많진 않아서 오히려 탄탄하기 잡아줘서 좋아여 글구 무엇보다 직진배송 최고,, 💕",Free
