아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
dmsr**,상위 10%,22.11.01,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,162.0,45,55,"기모맨투맨 뒤적뒤적하다가
가격도 할인해서 저렴하고 크림색 필요했는데
딱인것 같아서 주문!
집에 있던 크림색팬츠랑 완전 세뚜세뚜ㅋㅋ
아이보리가 아니고 크림색이에요!!",Free
z1pTypJd,상위 25%,24.12.29,그레이[기모],,생각보다 커요,아주 만족해요,화면과 비슷해요,165.0,60,66,기모가 들어가서 그런지 요거에 안에 히트텍 입어주면 엄청 따뜻해요! 한파에는 이렇게 입어주구 평소에는 맨투맨 하나만 입어도 따뜻하니 좋네여 핏도 귀여워요,Free
I7MQbncb,상위 20%,24.03.01,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,161.0,56,55,"제가 딱 원하는 느낌의 맨투맨이에요
직진 배송으로 급하게 시켰는데 너무 맘에 들고 핏도 딱 적당한 오버핏이라 너무 맘에 들어요
편하게 이곳저곳 입을 수 있어서 만족입니당",Free
eFRf2vmF,,24.02.13,그레이[기모],,정사이즈예요,아주 만족해요,화면과 비슷해요,167.0,47,55,전부터 봤는데 진작 살 걸 그랬어요! 목늘어지개 내려오지도않고 핏도 탄탄하게 힘있는 소재라서 이뻐용! 기모라서 부지런히 입아야되겠어요 ㅋㅋ,Free
UDgeqc15,상위 30%,24.01.05,아이보리(기모),,정사이즈예요,아주 만족해요,화면과 비슷해요,160.0,53,55,버터크림색깔이에영 사진이랑 비슷하고 제가원하던색깔이라 아주맘에듭니당 ㅎㅎ 그레이로 하나더주문할려고요 직진배송이라 ㅈ주문다음날 도착했어요 이쁘게 잘 입겠습니다,Free
권퓾,상위 25%,24.01.03,그레이(기모),,생각보다 커요,아주 만족해요,화면과 비슷해요,168.0,55,55,"품도 넉넉하고 원단도 탄탄해요 ㅎㅎ
아직 세탁은 안해봤는데 늘어남도 없이 좋습니다~
그레이색이러 하의도 아무거나 매치해도 잘 어울려요",Free
zqU1fZGb,,23.12.27,아이보리(기모),,정사이즈예요,아주 만족해요,화면과 비슷해요,158.0,46,55,"기대안했는데 기대이상이에요
너무 부드럽고 편하고 따듯하고
정말 잘산거같아요 
머스타드 바지에 입었는데
꾸안꾸스타일
다른색상으로 하나
더살까고민중
이거입으니까 어려보임 기여움",Free
7VfHqcyI,,23.12.18,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,163.0,63,66,실내에서 입으려고 기모없는 버전으로 구입했어요 생각보다 탄탄한 재질은 아니고 한철 입기 좋을것 같고 안에가 조금 까슬거리지만 편하게 입기 좋은 상품입니다~,Free
3lsce8NR,,23.12.09,그레이(기모),,생각보다 커요,보통이에요,화면과 비슷해요,169.0,55,55,"일단 색감이며 디자인이며 마음에 들어요!
다만 안에 기모가 다른옷이랑 입었을때 다른 옷에 먼지가 많이 붙어요ㅠㅠㅠ 
그치만 따뜻하고 너무 예쁩니다",Free
Y2a1boer,상위 25%,23.12.06,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,165.0,57,55,기모버전으로 살걸 조금 아쉽지만 깔끔하고 예뻐서 손이 자주 가네요 다음에 기모버전으로 컬러 변경해서 사야겠네요 완전 노란끼가 많지 않아서 더 예뻐요,Free
