아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
JwLoU2bY,,25.01.12,크림,,생각보다 커요,보통이에요,화면과 비슷해요,,,,색감이나 품도 엄청 넉넉하고 모자도 커서 핏도 이쁘고 기장도 짧아서 귀엽게 잘 입어질거같아요 밝은색이라 약간 오염이 되서 왔지만 그냥 입을게요,Free
Je24,상위 30%,25.01.10,멜란지그레이,,생각보다 커요,보통이에요,화면과 비슷해요,158,58,55,"기모가 부드럽고 소매가 긴편이에요
지퍼가 잘 내려가는것과 
기모가 많이 묻어나온다는 단점이있어서
구매전에 고민했는데 
핏이 너무 예뻐서 단점이 가려지는것 같아요 ㅎㅎ",Free
hlJCL9vB,,24.12.21,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,164,51,44,넘 귀염뽀짝 하자나여 ㅋㅋ 소매 핑크 자수 뭐야 ㅠㅠ 주머니더 낙낙하궁 벌룬핏 졸귀구 통커서 껴입기 삽가능 ㅎ ㅎ 진짜 편하고 기모 엄청 두꺼워서 따듯해용,Free
W5a8DCJo,,24.12.06,크림,블랙,생각보다 커요,보통이에요,화면과 비슷해요,163,53,55,"💫솔직리뷰 스타튜💫
✔️소재,지퍼,마감 상타치 괜찮
✔️아 근데 벌룬이 생각보다 과함 그래서 취향인 사람도 있긴할듯
✔️크림컬러 예쁨 마냥 하얗지않고 적당쓰 안 과함",Free
kBlooVrH,상위 30%,24.12.04,멜란지그레이,,생각보다 커요,아주 만족해요,화면과 비슷해요,174,60,66,빠른 배송으로 잘 받았어요! 173/60 기준 넉넉하게 핏 좋아요ㅎㅎ 생각보다 더 따숩고 이뻐서 아주 만족합니다! 블랙으로 하나 더 사려구요 ~~!!,Free
To8SXhCI,,24.12.02,멜란지그레이,,정사이즈예요,보통이에요,화면과 비슷해요,164,59,66,도톰하고 기모도 좋고 따뜻해요 무엇보다 입으면 귀여워서 추천합니당 그러나 안에 기모가 너무 잘 묻어나서.. 안에 입은 옷이 검정색이면 흰색 엄청 묻어요... 조심해서 입어야..ㅠ,Free
afv8jKhg,,24.11.30,멜란지그레이,,정사이즈예요,보통이에요,화면과 비슷해요,156,43,55,핏도 예쁘고 따뜻해요 초반에 안에 털이 묻어나오는 건 감안해야 될 거 같아요 손목에 자수도 너무 예뻐요 마음에 들어서 하나 더 사려구요,Free
Q0MReVsC,상위 20%,24.11.24,크림,,정사이즈예요,보통이에요,화면과 비슷해요,160,60,66,보들보들하고 기모 안감이 생각보다 많아서 따듯했어요 160기준 M사이즈 딱 적당한 길이감인거 같아요! 색도 완전 화이트라 너무 좋아요,Free
qUN6FpVJ,,24.11.23,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,166,53,55,요즘 제 최애 후드집업입니당ㅎㅎㅎ 엄청 따땃하고 편해요!!! 기모있어서 추운날에 든든하구 핏도 너무 이뻐요ㅠㅠ 흰색도 사야겠어요 ㅎㅎ 모자도 커서 좋아요,Free
Q43nCCmK,상위 20%,24.11.23,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,161,60,66,가오리핏 후드티입니다 이가격에 다른후드티 사도될거같았는데 막상 또 입고 나가보니까 예쁜거 같아요 핏도 좋구요! 생각보다 따뜻해서 다른색도 사고싶앙,Free
f2TyuuSf,상위 20%,24.11.22,멜란지그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,160,49,55,아방한핏 찾고있었는데 너무이뻐요 레깅스에도 찰떡이고 소재도 부들부들 너무좋네요 ! 배송도 직진배송이여서 빨리왔어요 다른색들도 구매할까바영,Free
3vQbW2gT,,24.11.21,멜란지그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"핏이 예뻐요!
보들보들 하고 편안해요
두컬러 하려다 혹시 몰라 한컬러만 했는데 아쉽네요
5천원 더 할인 받을 수 있었는데ㅠㅠ
아무튼 너무 예쁨",Free
KqzaRMst,상위 10%,24.11.19,멜란지그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,169,52,55,"과하지 않는 크롭기장에 기모가 들어있어 엄청 따뜻해요
너비도 널널한편이라 이너입고 위에 걸쳐도 입기 좋아요
색도 정직한 그레이 색상이라 무슨옷이든 잘 어울리네요",Free
bell******,상위 20%,24.11.19,블랙,멜란지그레이,정사이즈예요,보통이에요,화면과 비슷해요,168,49,44,"예전부터 디자인이 예뻐서 봐뒀던 상품입니다
기모가 톡톡하고 박음질도 깔끔해요
모자도 두껍고 마음에 드네요~
운동갈때 입기 딱 좋습니다!",Free
XuhPAYTH,,24.11.14,크림,,생각보다 커요,아주 만족해요,화면보다 밝아요,167,53,55,"생각보다 오버핏인데 입으니 귀여워요 
기모가 있어서 따뜻해요
초겨울까지도 잘 입을것 같아요 :) 
블랙이랑 두컬러 저렴하게 사서 잘 입고있어요",Free
SO4ZEp7G,,24.11.11,멜란지그레이,,생각보다 커요,보통이에요,화면과 비슷해요,163,60,66,"매우 도톰해서 따뜻합니다.
팔이 무척긴데 올려입는게 멋인것같습니다.
모자가 무거워서 자꾸 뒤로 넘어갑니다.
주머니에서 핸드폰이 자주 떨어져서 주의해야합니다.",Free
DXiywRDd,상위 25%,24.11.06,크림,,정사이즈예요,아주 만족해요,화면과 비슷해요,167,60,66,"완전 새~ 하얀 화이트인데 소매에 실버 로고가 포인트가
되어서 예뻐요!
소매랑 밑단 시보리가 짱짱해서 옷 핏도 잘 유지되고
무엇보다 가격대비 퀄리티가 너무 좋고 따뜻해요!!",Free
Vd9Fz1HN,상위 15%,24.11.05,블랙,,생각보다 커요,아주 만족해요,화면과 비슷해요,169,65,66,"기모가 있어서 너무 따뜻한데 스타일도 너무 좋아요. 운동가거나 가까운데 나갈때 완전 꾸안꾸. 66사이즈 인데요 넉넉하니 이쁘네영
다른 색도 사고 싶어요~",Free
XXZLUlFY,상위 15%,24.11.04,멜란지그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,163,75,77,생각보다 퀄리티가 훨씬 좋은거 같아요! 완전 도톰하고 적당한 크롭이라서 너무 예쁩니다 11월 말까지 운동 다니면서 잘 입을거 같아요!,Free
햅삐,상위 25%,24.11.03,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,163,60,66,작년에 원플원으로 그레이사고 너무 마음에 들었어서 블랙도 구매했어요! 가오리핏 너무 이쁘고 엄청 따뜻해요~! 사이즈도 넉넉해서 편하고 어디든 잘어울려용,Free
Ialaeee,상위 30%,24.10.31,멜란지그레이,,생각보다 커요,보통이에요,화면과 비슷해요,,,,그레이색 화면과 색상 똑같고 생각보다 크긴하지만 핏 예뻐서 오버핏 좋아하는 사람은 잘 입을 것 같아요. 크고 도톰해서 속에 뭐 껴입으면 초겨울까지 입어두 될듯요.,Free
heydii,상위 20%,24.10.18,크림,,생각보다 커요,아주 만족해요,화면보다 밝아요,172,59,66,"생각보다 여유있는 핏입니다
저는 박진영만큼 팔이 긴데 제팔도 충분히 여리여리하게 커버되는군요..
두께감있어 한겨울에도 잘입을거같구요
환한 흰색이 깨끗하고 예쁩니다!!",Free
DDGgCjHd,상위 5%,25.01.04,크림,,정사이즈예요,보통이에요,화면과 비슷해요,,,,"하얀색 시키는분들 조심하세요
불량이여서 교환신청했는데 직진배송상품이라고 안된다네요.
웰컴쿠폰으로 할인받아서 산거라 그런지
아니면 직진배송은 급한사람들이 시켜서 하자있는 상품 보내는건지..??",Free
달리미다,상위 20%,24.12.02,블랙,,생각보다 커요,보통이에요,화면과 비슷해요,155,42,44,"분홍이시키고 괜찮아서 검정색시켰는데여
빨고 터니까 검은색 뭉텅이들이ㅡㅡ 계속나와요
분홍색은안그랬는데 하..어지간히나와야지..지금털다가 계속나와서 안털었는데 이게맞아요?
분홍이는안그래서 털빠지는지확인안하고 바로빨았는데 다른옷에털다묻고 ㅡㅡ너무달라요",Free
VWF6bKmO,상위 25%,24.11.22,크림,세피아핑크,정사이즈예요,아주 만족해요,화면과 비슷해요,161,47,55,"배송 빨라요~
휘뚜루 마뚜루~
올 겨울 애네들하구 잘 보내볼려구여~
핑쿠~색*****뻐요~
따뜻하구 조은데요~
다른색도 사구 싶어지네요^^",Free
9A1B8k7k,,24.03.11,카페오레,멜란지그레이,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,이거 몇 년 전부터 살말 고민하다가 샀는데요… 일단 결론적으로 최고 만족하는 아이템입니다 ㅜㅠ 조금 부해보이지만 그건 디자인+양기모 특성상 어쩔 수 없고요.. 진짜 폭닥하고 따뜻해서 한겨울 최애템이 될 구 같아요.,Free
1pDKMKYZ,,24.02.04,멜란지그레이,크림,생각보다 커요,아주 만족해요,화면과 비슷해요,,,,"입자마자 이뻐요ㅎㅎ
살짝 오버핏에 고릴라핏이에요~
꾸안꾸이구요. 
안쪽 기모털이 옷에 많이 묻어난다는
후기가 많아 고민하다가
구매 안하고 있다가
관리 잘해서 입기로하하고 1+1로 
질렀어요~
넘 이쁘쟈냐 ㅠㅠㅠㅠ
두개 구매하길 잘했어요~
간절기에 너무 잘입을거 같애요^^",Free
