아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
Yurimond,,24.10.18,롱(+1000),블루,생각보다 커요,아주 만족해요,화면과 비슷해요,162,59,55,"색깔도 퀄리티도 스타일도 넘 맘에 들어요-!
단정하게 출근룩으로도 좋고 치마랑 입어도 잘 어울릴거 같네요 생각보다 웜톤한테두 잘 맞아요 셔츠치고 가격대가 있는거 아닌가 생각했는데 넘 만족합니당",Free
fa**,,24.10.17,숏,아이보리,정사이즈예요,보통이에요,화면과 비슷해요,155,43,44,"기본템으로 잘 입어질 거 같아요! 
제가 팔이 짧은 편이라 소매는 많이 길지만요.. 소매 접어서 잘 입어보겠습니다 키ㅣㅋ 
아 그리구 실밥정리가 조금 안되어 있어서 조-금 아쉬웠어요ㅜ",Free
aoau**,상위 15%,24.10.16,롱(+1000),차콜,정사이즈예요,보통이에요,화면과 비슷해요,158,52,55,"앞면 표시된 부분이 하얀데 접힌 부분이라기엔
뒷면은 색이 깔끔해요 
팔이랑 몸통 이어지는 봉제부분도 저렇게 하얗고 …
머리카락에 가려질거같아서 
교환은 귀찮아서 그냥 입으려구요
후기가 좋던데 좀 아쉬워요 
여름에 입기엔 좀 더울거같아요 
에어컨 빵빵한 실내에서는 입을수 있을듯!
다른 계절엔 다 잘 입어질거같아요",Free
Bx8tipnC,상위 10%,24.10.16,롱(+1000),블루,정사이즈예요,아주 만족해요,화면과 비슷해요,158,58,55,"이런 셔츠 찾고 있었는데 너무 이뻐요 158 기준 엉덩이 다 덮어요. 본인 여쿨 뮤트거나 이런 회색 한 방울 첨가된 색 좋아하시는 분들은 꼭 사세오🙏 색깔 너무 이뻐요 사진은 좀 회색으로 나오긴 햏는데 실제론 약간 소라색? 실물로 보면 색깔 훨씬 이뻐요

개인적으로 팔 살짝 걷어서 입는게 더 이쁘네오! 아 그리고 목 부분이 생각보다 빳빳해요 흐물텅 거리는 것 보단 좋아서 만족햐용👍",Free
kNSY8iTv,,24.07.19,롱,아이보리,생각보다 커요,아주 만족해요,화면과 비슷해요,162,49,55,"매주 옷 왕마니 사재끼는 사람의 후기 
거친듯한 조직인데 입으면 부드러워요
안까칠하고 핏 탄탄하고 완전이뻐요
사실 지금계절엔 덥지만 3계절 활용가능해서 자주입을듯
박시핏 찾는분들 구매해야해요",Free
뚜앙,상위 10%,24.10.29,롱,아이보리,정사이즈예요,보통이에요,화면과 비슷해요,165,47,55,"165/47-48
상체가 긴편이어서 엉덩이가 충분히 가려질까
고민했는데 충분히 가려집니다.
소재는 면도 아니고 고슬고슬한 재질이고
8월 폭염에는 조금 힘들 거 같고
그 외 봄 초여름 가을에 입기 좋을 거 같아요.
저는 더위를 워낙 안타서 살안타템으로
8월에도 자주 입었어요!
빨아보니 구김도 별로 안가고 추첨 합니다:)",Free
laga***,상위 10%,24.10.14,롱(+1000),블루,생각보다 커요,아주 만족해요,화면과 비슷해요,158,48,55,유튭 보다가 셔츠하나 사려고했었는데 마침 괜찮은것같아 구매했어요. 158cm에 47-8kg 이고 상체가 더 작은 체형이에요. (상의가 44반정도?) 생각보다 크기도 널널하고 해서 티위에 걸쳐입었어요 요즘 날씨가 왔다갔다 하니까 걸쳐입기 좋더라구요 색도 너무 파란셔츠가 아니어서 봄 소프트 톤인데 색도 예뻤어요 길이도 꽤 길었어요,Free
rubi***,상위 5%,24.10.10,숏,차콜,생각보다 커요,보통이에요,화면과 비슷해요,160,48,55,크롭기장 셔츠가 필요했는데 길이감 딱 좋고 소재도 괜찮은 것 같습니다. 구김이 좀 있어서 조금만 다려서 펴 입으면 좋을 것 같아요. 160 기준 딱 허리에 와서 크롭 좋아하시면 요거 추천해요. 오버핏 느낌이라 전체적으로 좀 큰 느낌이긴 한데 개인적으로 오버핏 좋아해서 만족했어요. 단독으로나 베스트랑 레이어드 하기 좋아요. 오버핏이라 베스트랑 레이어드할 때 살짝 버겁긴 하네요.,Free
pigt**,,24.10.02,롱(+1000),아이보리,정사이즈예요,아주 만족해요,화면과 비슷해요,165,51,66,재질이 톡톡하니 마냥 부드럽진 않은데 좋아하는 재질이에요^^ 설명을 못하겠네요~ 길이도 엉덩이 덮고 핏도 예쁘게 떨어져서 더 사고 싶습니다^^ 제 사진은 세탁하려고 막 던져뒀던 걸 리뷰만 하려고 그냥 꺼내입어서 쭈글해요~ 올 땐 예쁘게 접혀왔어요^^,Free
edc3jYB0,상위 15%,24.09.28,롱(+1000),아이보리,정사이즈예요,보통이에요,화면과 비슷해요,169,61,66,블랙 사려다가 단추가 흰색이라고해서 다른색으로 주문했는데 핏 정말 예쁘게 딱 떨어져서 이번가을 잘 입을거 같아요. 대신 흰 셔츠다보니 속옷이 비춰서 누드컬러 속옷 입거나 나시 입어줘야할거 같네요:),Free
