아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
upKHuC81,상위 30%,24.11.19,오트밀,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,160cm,47kg,상의 55,심플하고 미니멀해서 예뻐요! 색도 어떤 하의에나 잘 어울려소 맘에 듭니당 하나 아쉬운 점은 목이 잘 늘어나네요...🥲 한 3번 빨았는데 늘어났어요ㅠㅠ 한철용으로 입는다고 생각하면 추천입니다👍🏻
CDfaR5N2,,24.11.06,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"맨투맨 만족한적 별로 없는데 대만족입니두 
두께도 적당하고 길이도 적당해요!
두께가 적당히 얇아서 외투 걸치기도 편하고요 
길이는 둔부(?)까지는 가려줘서 편해요
부해보이는 스타일아니라 대만족,,
요즘 맨투맨들 다 짧게 크롭으로 나와서
불편했는데 얘눈 아주 맘에듭니닷"
kEaNrFzK,,24.11.04,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,,,,배송은 며칠 걸리지 않아서 많이 기다리진 않았습니다. 평소 55-66사이즈 입는데 넉넉한 사이즈라 루즈하게 편하게 입을수 있구요. 오트밀 구매했는데 색상도 이쁘네요. 요즘은 크롭종류도 많고 길이가 짧아서 걱정했는데 딱 맘에 듭니다. 기모가 있지는 않아서 지금 한참 잘 입을수 있고. 추워지면 안에 남방 받쳐입기에도 좋은 사이즈라 너무 만족입니다.
2hCB8STC,상위 10%,24.10.31,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,,,,"전에 다른곳에서 비슷한 느낌의 맨투맨 티셔츠를 깔별로 2개 샀는데 세탁기 건조기 돌리고 크롭?이 되어서 한번도 못 입었거든요ㅋㅋㅋㅠㅠㅠ
근데 지금 세탁기에 돌고 있는데 갑자기 그 생각이 나서 불안초조 해요.. 보면 거의 비슷한 재질인데 빨면 어떤거는 그대로고 어떤건 줄어드는 천이 있더라구요.. 
제발 이 옷은 줄어들지 않는 재질이길 바라며..
받은 그대로의 크기로 편하게 입고 싶네용~ㅋ"
7t990uyY,상위 5%,24.10.27,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,,,,음 핏은 생각보다 품이 널널한데 밑에 시보리가 힘이 좀있는 편이라 와이드 핏이랑 매치하니 또 괜찮네요! 무난하게 맘에 듭니다. 두께는 가을도 가능하지만 겨울에 이너티 입고 입으면 좋을 것 같아요. 근데 안에가 쭈리라고 하나요? 너무 까스까슬하긴 해요. 이너티 입으면 괜찮을 것 같지만 좀 신경쓰여요!
vwkXA8By,,24.10.18,그레이,FREE,생각보다 커요,보통이에요,화면과 비슷해요,,,,"색 화면과 같고 핏도 생각한대로 딱 좋은데 목라인이 약해보인다는게 뭔지 알거 같음 좀 흐물거리긴함 키작은데 핏이나 길이도 괜찮음 안이 많이 까끌거리긴하는데 막상 입으니까 못느끼겠음 ㄱㅊ해요

+세탁 한번 하니까 줄어들었음 엉덩이 다 덮던거 반만 덮음 오버핏 말고 그냥 보통 맨투맨 사이즈됨 오버핏 찾으면 추천안함"
v58YidQu,상위 25%,24.10.16,그레이,FREE,정사이즈예요,보통이에요,화면과 비슷해요,164cm,65kg,상의 77,"이뻐요 ㅋ 자수가 탄탄한 느낌은 아니지만 그레이에 네이비자수라 무난하고 맨투맨 두께가 기모는 아니지만 적당한 두께입니다. 반팔티 입고 입으면 가을겨울 그리고 봄까지 잘입어질것같아요. 
세탁후에도 변형없다면 다른컬러도 쟁일템이 될듯-!"
f1**,,24.10.05,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,170cm,63kg,,"색상은 화면과 같아요. 두께는 얆은건 아니고, 안감이 좀 거친 느낌이라 저는 내의 입고 입어야할 것 같네요. 길이는 긴 편은 아니에요."
Covkenz,상위 20%,24.10.25,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,166cm,62kg,상의 66,"배송은 하루만에 왔어요 !!
마감이 깔끔하지 않은 부분이 있지만 저렴한 가격에 잘 구매한 것 같아요! 가성비 좋습니당!!!"
8FQyXpbR,,24.02.27,네이비,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,77kg,상의 88,덩치가 조금 있으신 분들도 예쁘게 정사이즈로 입으실 수 있어요!! 옷 바깥쪽은 다 좋은데 옷 안쪽 즉 몸에 직접적으로 닿는 부분이 살짝 까끌까끌 거립니다!! 근데 이 가격이면 정말 만족합니다!!
Fh8qx6Dr,,23.12.12,그레이,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,153cm,46kg,상의 55,"맨 팔에 닿으면 조콤 거친 느낌이 들긴 하지만, 상관없어요 ! 딱 원했던 박시느낌이니까요 ♥ 
레터링 너낌이 촌시럽지 않아보여 선택했는데 왠걸 ,, 실물파네요 ! 글구 전 실밥은 상관 안해서 ㅎㅎㅎ 별점 백개입니다 ~~"
