아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
나는이현,,24.05.22,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158,49,55,사진이 정말정말 잘 나와요 여행룩으로 강추합니다 특히 바다에서 찍으면 청량미 미쳤어요…민소매 잘못 입으면 부유방이 너무 부각되는데 부유방도 커버돼서 단독으로 입기도 좋아요!여행룩으로 추천합니다..인생샷 남길 수 있어요!,Free
KppoAdSh,,24.05.18,Light Blue,Free,정사이즈예요,보통이에요,화면과 비슷해요,161,57,55,옆 지퍼로 허리에서 채우고 끈 올려서 입으면 입기 좀 수월합니다 음 단독으로 입긴 좀 구렇고 가디건이나 셔츠랑 같이코디하면 예쁠듯 재질도 좋고 여름에 시원하게 잘입을 것 같아여 근데 75c 기준 가슴부분이 쨍김; 니플패치하고 입으면 좀 나을 둣,Free
ecno****,상위 20%,24.04.20,Ivory,Free,생각보다 커요,보통이에요,화면과 비슷해요,166,53,55,"요즘 저의 교복입니다.
바스락 거리는 재질이라서 시원하고 방수도 잘 돼요.
바지 길이도, 리본도 굉장히 길지만 그게 또 힙해보여요.
주변에서 분홍바지, 분홍바지 라고 말하면서 예쁘다, 편해보인다고 말해줘요.
특색있는 바지예요!
다만 아쉬운 건 이염이 잘 된다는 점..",Free
lucy****,상위 15%,24.04.01,Ivory,Free,생각보다 커요,아주 만족해요,화면과 비슷해요,158,44,44,예쁘긴 한데 생각보다 겨드랑이 품은 컸구 숙이면 가슴이 다 보여서 숙이게 될 경우 조심해야해요! 뒤에 택때뭄에 약간 때가 탄 느낌? 이긴 한데 전 가디건이나 자켓 안에 입을 거 였어서 상관없었슴당 글구 배송 왕빨랐어요!! 이 가격에 이정도 퀄리티면 사실 진짜 최고긴해용💞,Free
JDOLGCvn,,23.09.11,Light Blue,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,157,43,44,하루만에 배송 받아서 좋았어요 사진과 디자인 색상 모두 동일하고 오염하자 없는 제품으로 잘 받았습니다 나시를 입으면 속옷부분이 노출되는 경우가 많은데 이건 어깨끈조절이 되서 딱맞게 조절할 수 있어서 노출 걱정이 없어서 좋은 것 같아요 프릴라인이 귀여운 것 같아요 감사합니다,Free
OXD3gDBC,,23.09.06,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,153,45,99 이상,우선 저는 평소에 니플패치를 착용하는 사람인데 이건 니플패치만 붙이고 입었다간 온 사방에 제 니플패치를 보여주는 사람이 될 거 같더라고요? 그래서 안에 나시 받쳐입고 입었습니다! 두번째 사진처럼 나시를 입어도 숙이거나 위에서 보면 안에가 다 보이긴 하더라고용 그래도 너무 편하고 예뻐서 벌써 두 번이나 입고 나갔어요! 급하게 산 거였는데 잘 산 거 같아요! 아주 작은 불량이 있긴 했지만 빠른 시일 내에 입어야 했고 교환도 귀찮아서 그냥 제가 품었어요!,Free
juye******,,24.09.16,Ivory,Free,작아요,아주 만족해요,화면과 비슷해요,165,69,66,"저같은 퉁퉁이에게는 좀 숨막히네요💦
근데 예뻐서 괜찮음 이정도는 내가 참아.
엄마가.. 가시내 너무 파였다~~ 했는데 좀 파였긴 하네요.. 이건 끈조절을 너무 길게 해서 그런듯 끈조절 할 수 있는게 넘 좋고 옆에 지퍼있는게 편해융~~",Free
bjiw*****,,24.09.05,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,164,58,55,"핏이 귀여워요 ♡
벙벙해서 살쪄보일줄 알았는데 안그래서
예쁜사진 많이 찍었어요
근데 상체가 마른편이 아니시면 가슴부분 껴요
저는 바스트도 큰편이 아니라서 딱 예쁘게 입었어요",Free
CYtnQuPy,상위 5%,24.08.27,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,164,50,44,디자인 예쁜데 부유방까지 가릴 수 있다니 자주 입을 수 있을 거 같아서 구매했어요! 핏이 아주 마음에 들었어요 끈나시임에도 불구하고 부담스럽지 않아요 끈 길이를 조절할 수 있어서 제 부유방을 딱 알맞게 가릴 수 있더라고요ㅎㅎ 가디건이랑 매치해도 예뻐요,Free
rmMfPAql,,24.08.08,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,167,58,55,부유방 잘 가려주고 옆에 지퍼도 있어 입기도 좋구 시원한 재질이고 다 좋아용 다만 가슴이 좀 있다면 사알짝 임한부핏 조심 ~ 저는 아래가 좀 퍼져서 아래를 신경써서 입어야 할거 같아용 여행가서 잘입고 올깨융 !,Free
