아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
청순청순열매,,24.12.24,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,50kg,상의 44,"기장이 좀 짧고 딱 붙고 여리핏은 아닌거같아요
옆에트임이 한쪽만 잇는게 좀 어색합니다
그냥 쏘쏘 한두번입기 좋은 옷이네요"
홍설,,24.12.21,그레이,,작아요,보통이에요,화면과 비슷해요,160cm,47kg,상의 44,기본티로 딱입니다 밑에 트임디테일도 만족스러워요 지금까지 한5번?정도는 착용했었는데 전완근 부분쪽에 보풀이 살짝 생겼어요
덩하,상위 5%,24.12.17,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,48kg,상의 55,운동할 때 입으려고 산 건 아닌데 운동할 때 잘 입고 있어욯ㅎ 등에 있는 라인? 이 정말 예쁘고 절개가 진짜 예쁜 포인트입니닿ㅎ 통 큰 바지보단 핏 되는 바지랑 잘 어울랴요
덩하,상위 5%,24.12.17,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,48kg,상의 55,"생각보다 몸매가 드러나는 핏인데 예쁘게 착 감싸줘서 운동할 때 입으면 딱이더라고요
두껍지도 않고 절개가 포인트라 레깅스랑도 찰떡이에욯ㅎ"
ZcRgxNc8,,24.12.17,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,57kg,상의 66,그레이 사서 가을에 잘 입고 다녀서 블랙도 구매했어요. 쫀쫀한게 겨울엔 이너로 휘뚜루 입고다니려고요. 마음에 듭니다!
gpklR2im,,24.12.16,아이보리,,정사이즈예요,보통이에요,화면보다 어두워요,165cm,50kg,상의 44,옷은 너무 예쁜데 약간 누런..? 느낌이 나는 아이보리입니다 마감처리가 너무 아쉽지만 옷은 진짜 예뻐요🥹❤️ 트임 효과 넘 예쁩니당
lech******,상위 15%,24.12.15,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,169cm,56kg,,"엄청 부들부들하고 넉넉하게 맞아서 좋아요 
그냥 면 티 입고 싶을 때 입기 좋습니다 
다만 색이 밝은거는 실루엣이 잘 드러나서 좀 부담스럽긴 해요"
3E9lh2PM,상위 15%,24.12.14,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,60kg,상의 55,이너로 입으려고 구매했어요~ 몸에 딱맞긴한데 핏은 나쁘지 않네요 ㅎㅎ 생각보다 어두운 그레이색이였어요~ 잘 입어보겠습니당
J0HGdEaz,상위 15%,24.12.12,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,161cm,52kg,상의 55,"머스타드 그린 블루그린 세컬러 주문했고, 주문 후 3일만에 받았어요! 컬러 비교하시라고 올려봅니다👍
튼튼하고 가격대비 좋아요"
꼴뚜기,상위 30%,24.12.12,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,163cm,51kg,상의 55,이너로 입기 좋아요 단독으로 입어도 예쁘겠지만 확실히 팔뚝살 없고 날씬한 분들이 입어야 예쁠듯 어깨가 조금 넓어 보이고 찰랑찰랑한 소재는 아닙니당 휘뚤마뚤 입기 좋을거같아요
GLg3wXlC,,24.12.10,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,56kg,상의 55,"조금 진한 회색이긴한데 핏이 너무 예뻐서 맘에 들어요 ㅎㅎ
색 2개 삿는데 다른 색들도 다 사고싶네용
휘뚜루마뚜루템 완전 추천"
qVcF3D53,,24.12.06,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,157cm,49kg,상의 55,진짜 이 티 없으면 못살아요 핏도 예쁘고 엄청 날씬해보여요 촉감도 너무 좋아서 휘뚜루마뚜루 템입니다 색깔별류 두장씩 샀어요
n0zu8Yjx,,24.12.05,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,44kg,상의 44,"기본티 필요해서 블랙으로 구매했는데 만족합니다
핏감도 이쁘고 옆에 절개도 포인트로 괜찮아요 뭔가 더 여리여리한 느낌?? 다른색상도 구매할까합니다!!"
DMGxFw3u,상위 30%,24.12.04,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,167cm,62kg,상의 44,"어깨부터 겨드랑이 부분이 입으면 돌아간 느낌이에요 이상해요,, 끝에 트임이라던가 디테일은 좋습니다 제 스팩분들은 모델핏 절대 안나올거에요 ^_ㅜ 재구매의사는 없습니다"
TejUrHz9,,24.12.03,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,164cm,상의 55,,"몸에 잘 붙어서 몸매 좋아보여요!
레이어드 할수있게 약간만 더 길면 좋겠어요
잘 늘어나서 입기 편해요
다른색도 구매하려구여
기장만 아쉽"
fhwm******,,24.12.02,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,165cm,48kg,상의 44,이거 물건이에요 어디에나 찰떡이고 이너로 얇게 겨울에 딱입니다 ㅋㅋ 아주 잘산것같아요 회색삿다가 흰색 검정색 색깔별로 쟁였엉ㅎ
fhwm******,,24.12.02,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,165cm,48kg,상의 44,이거 물건이에요 어디에나 찰떡이고 이너로 얇게 겨울에 딱입니다 ㅋㅋ 아주 잘산것같아요 회색삿다가 흰색 검정색 색깔별로 쟁였엉ㅎ
