아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
lydi*****,,24.11.07,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,30이하,,올 여름 주구장창 입고 댕겼어요… 아주 톡톡하고 기본핏 나시로써 제격입니다 사실 어제도 입었어요ㅎㅎ 사용감있는 사진 죄송합니다 깔별로 사야겠어요,Free
z2Y3VtKf,,24.11.06,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,166.0,57,,쫀쫀해요 그래서 좀 답답하게 느껴지기도 하는데 그냥 입을만 한 것 같아요 입다 보면 늘어날 것 같기도 해요 이너로 입든 단독으로 입든 괜찮을 듯 만족합니다,Free
zzi7l7i6,,24.10.17,블루네이비,,정사이즈예요,보통이에요,화면과 비슷해요,154.0,44,44,"가성비 대비 너무 만족했습니다 ㅎㅎ 
여름휴가갔을때 시원해보이려고 입었었는데 
사진도 너무 잘나오고 만족해요 ~",Free
LsFk4rj6,,24.10.14,블랙,,정사이즈예요,보통이에요,화면과 비슷해요,156.0,56,55,이너로 활용하고 있는데 배를 완전히 덮어서 바지속에 넣어입을만한 길이는 아니에요! 그래도 어깨끈이 넓어서 속옷 신경 안써도 되는게 좋아요,Free
VX9sNlO1,상위 15%,24.10.13,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,158.0,50,55,생각보다 엄청 쫀쫀해요 그래서 그런지 퀄리티는 좋아요! 셔츠나 가디건 입을때 안에 입기 너무 좋을거 같아요!입어보고 다른색도 생각해봐야겠어요!!,Free
네모빔맞은메모,상위 30%,24.10.12,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,162.0,52,55,흰색 입고 된 거 보자마자 바로 샀어요 ㅋㅋㅋㅋ 진짜 짱짱하고 잘 늘어나서 좋아요! 오래 입을 수 있을 거 같고 다른 여러 옷들이랑 쉽게 매치해서 입기 딱이에요!,Free
JVVnMYc8,상위 10%,24.10.08,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,165.0,47,44,원래 회색 갖고있었는데 물빠지는 바지랑 빨았다가 ㅠ 색이 누래져서 다시 구입했어요! 유교걸 맞춤 슬리브리스 너무 좋아서 깔별로 다 있는데 만족,Free
SYLfunqu,,24.10.06,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,165.0,54,55,딱 붙는 핏으로 맞아요~ 겨드랑이 살도 야무지게 가려줍니다. 팔을 위아래로 흔들면 살이 금방 삐져나오기는 하는데 조심하면 괜찮을 것 같아요ㅎㅎ,Free
SYLfunqu,,24.10.06,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,165.0,54,55,딱 붙는 핏으로 맞아요~ 겨드랑이 살도 야무지게 가려줍니다. 팔을 위아래로 흔들면 살이 금방 삐져나오기는 하는데 조심하면 괜찮을 것 같아요ㅎㅎ,Free
f7pvhfyt,,24.10.05,챠콜브라운,,정사이즈예요,보통이에요,화면과 비슷해요,,,,색이 예뻐요 가을이랑 잘 어울리는 것 같아요 그리고 엄청 쫀쫀해요 부유방 커버도 잘 되는 것 같아요 이너로 입어도 좋고 단독으로 입어도 이뻐요,Free
